timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663498787955,310,Delete Books,200,OK,Stress_test 1-22,text,true,,4402,194,11,11,https://project-three-application-type.azurewebsites.net/api/Books/3,308,0,0
1663498786638,1675,Post Books,200,OK,Stress_test 1-18,text,true,,403,363,11,11,https://project-three-application-type.azurewebsites.net/api/Books,1675,0,1438
1663498788098,297,Get Books by ID,200,OK,Stress_test 1-17,text,true,,4206,194,11,11,https://project-three-application-type.azurewebsites.net/api/Books/3,295,0,0
1663498788247,409,Delete Books,200,OK,Stress_test 1-27,text,true,,4854,194,11,11,https://project-three-application-type.azurewebsites.net/api/Books/3,409,0,0
1663498788265,405,Get Books by ID,200,OK,Stress_test 1-22,text,true,,4706,194,11,11,https://project-three-application-type.azurewebsites.net/api/Books/3,403,0,0
1663498788314,358,Delete Books,200,OK,Stress_test 1-18,text,true,,905,194,11,11,https://project-three-application-type.azurewebsites.net/api/Books/9,358,0,0
1663498788395,296,Put Books,200,OK,Stress_test 1-17,text,true,,403,364,11,11,https://project-three-application-type.azurewebsites.net/api/Books/3,296,0,0
1663498788656,395,Get Books by ID,200,OK,Stress_test 1-27,text,true,,906,194,10,10,https://project-three-application-type.azurewebsites.net/api/Books/3,395,0,0
1663498788671,388,Put Books,200,OK,Stress_test 1-22,text,true,,403,364,10,10,https://project-three-application-type.azurewebsites.net/api/Books/3,388,0,0
1663498787855,1433,Post Books,200,OK,Stress_test 1-19,text,true,,403,363,9,9,https://project-three-application-type.azurewebsites.net/api/Books,1433,0,969
1663498789051,484,Put Books,200,OK,Stress_test 1-27,text,true,,403,364,9,9,https://project-three-application-type.azurewebsites.net/api/Books/3,484,0,0
1663498789290,342,Delete Books,200,OK,Stress_test 1-19,text,true,,906,194,8,8,https://project-three-application-type.azurewebsites.net/api/Books/5,342,0,0
1663498746332,43328,Get books,200,OK,Stress_test 1-28,text,true,,948657,192,8,8,https://project-three-application-type.azurewebsites.net/api/Books,6520,0,0
1663498788672,1432,Get Books by ID,200,OK,Stress_test 1-18,text,true,,906,194,8,8,https://project-three-application-type.azurewebsites.net/api/Books/9,1432,0,0
1663498789632,631,Get Books by ID,200,OK,Stress_test 1-19,text,true,,906,194,8,8,https://project-three-application-type.azurewebsites.net/api/Books/5,631,0,0
1663498789661,615,Post Books,200,OK,Stress_test 1-28,text,true,,403,363,8,8,https://project-three-application-type.azurewebsites.net/api/Books,615,0,0
1663498790105,538,Put Books,200,OK,Stress_test 1-18,text,true,,403,364,8,8,https://project-three-application-type.azurewebsites.net/api/Books/9,538,0,0
1663498790263,462,Put Books,200,OK,Stress_test 1-19,text,true,,403,364,7,7,https://project-three-application-type.azurewebsites.net/api/Books/5,462,0,0
1663498790277,470,Delete Books,200,OK,Stress_test 1-28,text,true,,905,194,6,6,https://project-three-application-type.azurewebsites.net/api/Books/9,470,0,0
1663498790748,535,Get Books by ID,200,OK,Stress_test 1-28,text,true,,906,194,6,6,https://project-three-application-type.azurewebsites.net/api/Books/9,535,0,0
1663498791283,593,Put Books,200,OK,Stress_test 1-28,text,true,,403,364,6,6,https://project-three-application-type.azurewebsites.net/api/Books/9,593,0,0
1663498746745,45343,Get books,200,OK,Stress_test 1-25,text,true,,920590,192,5,5,https://project-three-application-type.azurewebsites.net/api/Books,5312,0,0
